,subj_id,gold_standard,new_measure
0,101,22.83333333,23.00138889
1,102,23.33333333,23.46666667
2,103,22.5,22.73194444
3,104,23.0,23.20555556
4,105,20.5,20.60694444
5,106,24.0,23.78888889
6,107,24.0,23.77638889
7,108,24.0,24.22361111
8,109,24.0,24.0
9,110,22.5,22.48055556
10,111,22.5,22.70416667
11,112,23.0,23.10694444
12,113,24.0,24.13055556
13,114,23.0,22.82083333
14,115,22.0,21.94166667
15,116,22.5,22.8375
16,117,21.25,21.46388889
17,118,22.0,22.25694444
18,119,22.25,22.31527778
19,120,21.5,21.68333333
20,121,22.5,21.11527778
21,122,23.0,22.81666667
22,123,21.5,21.62222222
23,124,20.0,20.14305556
24,125,22.0,22.04305556
25,126,21.66666667,21.75138889
